PRIORITY,ID_2MASS,RA_DEG,DEC_DEG,EPOCH,H_MAG,H_MAG_SOURCE,PM_RA,PM_DEC,PM_SOURCE,TYPE,APOGEE_COMMENT,AT1,AT2,AT3,APOGEE_COMMENT2
NaN,J18533217-3032239,283.38417,-30.53972,2000.0,11.600,2MASS,-2.900,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570036-3123130,284.25125,-31.38694,2000.0,11.603,2MASS,-1.600,-1.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18555087-3147013,283.96208,-31.78361,2000.0,11.613,2MASS,1.000,-2.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570261-3105288,284.26083,-31.09111,2000.0,11.629,2MASS,-0.600,0.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18523134-3036235,283.13042,-30.60639,2000.0,11.672,2MASS,-3.500,0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18593088-3119538,284.87875,-31.33139,2000.0,11.695,2MASS,-2.600,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18545774-3025574,283.74042,-30.43250,2000.0,11.698,2MASS,0.200,3.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18575053-3112347,284.46042,-31.20944,2000.0,11.715,2MASS,1.700,0.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18574044-3105370,284.41875,-31.09361,2000.0,11.737,2MASS,1.600,-0.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18575059-3150050,284.46083,-31.83472,2000.0,11.770,2MASS,-0.400,-3.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18593083-3023159,284.87833,-30.38750,2000.0,11.773,2MASS,0.100,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18564215-3020567,284.17542,-30.34889,2000.0,11.777,2MASS,-1.700,-2.400,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18565969-3106454,284.24875,-31.11250,2000.0,11.805,2MASS,-2.500,1.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18574373-3026090,284.43208,-30.43556,2000.0,11.805,2MASS,-1.600,3.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18520873-3043271,283.03625,-30.72417,2000.0,11.815,2MASS,-0.600,-0.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18565770-3131564,284.24042,-31.53222,2000.0,11.825,2MASS,-0.800,-0.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552313-3122544,283.84625,-31.38167,2000.0,11.845,2MASS,3.300,0.400,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552463-3024397,283.85250,-30.41083,2000.0,11.857,2MASS,-1.300,-0.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18550268-3107592,283.76125,-31.13306,2000.0,11.861,2MASS,2.000,2.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18573083-3056371,284.37833,-30.94361,2000.0,11.862,2MASS,0.500,4.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J19000070-3039173,285.00292,-30.65472,2000.0,11.871,2MASS,-0.500,0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
